word,sentence,position,label
turkey,1627,2,0
polish,1627,3,0
kielbasa,1627,4,0
or,1627,5,0
3,1627,6,0
lb,1627,7,0
turkey,1627,8,0
polish,1627,9,0
kielbasa ,1627,10,0
cut,1627,11,0
into,1627,12,0
1/2-inch,1627,13,0
cubes,1627,14,0
4,1628,0,0
cloves,1628,1,0
garlic ,1628,2,0
minced,1628,3,0
2,1629,0,0
teaspoons,1629,1,0
cumin ,1629,2,0
ground,1629,3,0
6,1630,0,0
cups,1630,1,0
water,1630,2,0
1,1631,0,0
teaspoon,1631,1,0
salt,1631,2,0
1,1632,0,0
teaspoon,1632,1,0
pepper,1632,2,0
1,1633,0,0
bay,1633,1,0
leaf,1633,2,0
1,1634,0,0
cup,1634,1,0
red,1634,2,0
wine,1634,3,0
vinegar,1634,4,0
1,1635,0,0
teaspoon,1635,1,0
hot,1635,2,0
sauce,1635,3,0
1,1647,0,0
1,1647,1,0
cups,1647,2,0
coconut,1647,3,0
milk,1647,4,0
6,1648,0,0
eggs ,1648,1,0
beaten,1648,2,0
3,1649,0,0
cup,1649,1,0
palm,1649,2,0
sugar,1649,3,0
1,1650,0,0
teaspoon,1650,1,0
salt,1650,2,0
1,1658,0,0
lb,1658,1,0
black,1658,2,0
beans,1658,3,0
6,1659,0,0
cups,1659,1,0
water,1659,2,0
1,1660,0,0
lb,1660,1,0
ham,1660,2,0
1,1661,0,0
lb,1661,1,0
pork,1661,2,0
loin ,1661,3,0
cubed,1661,4,0
3,1662,0,0
lb,1662,1,0
hot,1662,2,0
italian,1662,3,0
sausage,1662,4,0
1,1663,0,0
pint,1663,1,0
cherry,1663,2,0
tomatoes,1663,3,0
1,1664,0,0
onion ,1664,1,0
chopped,1664,2,0
1,1665,0,0
teaspoon,1665,1,0
red,1665,2,0
pepper,1665,3,0
flakes,1665,4,0
6,1666,0,0
garlic,1666,1,0
cloves ,1666,2,0
minced,1666,3,0
1,1667,0,0
teaspoon,1667,1,0
orange,1667,2,0
zest,1667,3,0
1,1679,0,0
1,1679,1,0
teaspoons,1679,2,0
cornstarch,1679,3,0
3,1680,0,0
cup,1680,1,0
vegetable,1680,2,0
stock ,1680,3,0
divided,1680,4,0
1,1681,0,0
tablespoon,1681,1,0
dry,1681,2,0
sherry,1681,3,0
2,1682,0,0
tablespoons,1682,1,0
soy,1682,2,0
sauce,1682,3,0
1,1683,0,0
tablespoon,1683,1,0
sesame,1683,2,0
oil,1683,3,0
1,1684,0,0
scallion,1684,1,0
4,1685,0,0
tablespoons,1685,1,0
vegetable,1685,2,0
oil,1685,3,0
2,1686,0,0
slices,1686,1,0
gingerroot,1686,2,0
2,1687,0,0
garlic,1687,1,0
cloves ,1687,2,0
sliced,1687,3,0
2,1688,0,0
cups,1688,1,0
broccoli ,1688,2,0
florets,1688,3,0
and,1688,4,0
stems,1688,5,0
1,1689,0,0
teaspoon,1689,1,0
salt,1689,2,0
1,1690,0,0
lb,1690,1,0
medium,1690,2,0
firm,1690,3,0
tofu ,1690,4,0
cubed,1690,5,0
3,1707,0,0
-4,1707,1,0
tablespoons,1707,2,0
oil,1707,3,0
1,1708,0,0
teaspoon,1708,1,0
cumin,1708,2,0
seed,1708,3,0
1,1709,0,0
-2,1709,1,0
teaspoon,1709,2,0
fresh,1709,3,0
ginger ,1709,4,0
peeled,1709,5,0
and,1709,6,0
finely,1709,7,0
diced,1709,8,0
cauliflower ,1710,0,0
cut,1710,1,0
into,1710,2,0
small,1710,3,0
pieces,1710,4,0
the,1710,5,0
same,1710,6,0
size,1710,7,0
as,1710,8,0
the,1710,9,0
potatoes,1710,10,0
2,1711,0,0
potatoes ,1711,1,0
peeled,1711,2,0
and,1711,3,0
cut,1711,4,0
into,1711,5,0
small,1711,6,0
dice,1711,7,0
1,1712,0,0
pinch,1712,1,0
garam,1712,2,0
masala,1712,3,0
dried,1713,0,0
red,1713,1,0
chili ,1713,2,0
small,1713,3,0
thai,1713,4,0
peppers,1713,5,0
salt,1714,0,0
2,1722,0,0
cups,1722,1,0
cauliflower ,1722,2,0
cut,1722,3,0
into,1722,4,0
bite,1722,5,0
size,1722,6,0
pieces,1722,7,0
2,1723,0,0
cups,1723,1,0
carrots ,1723,2,0
sliced,1723,3,0
2,1724,0,0
cups,1724,1,0
celery ,1724,2,0
sliced,1724,3,0
1,1725,0,0
cup,1725,1,0
onion ,1725,2,0
chopped,1725,3,0
1,1726,0,0
10,1726,1,0
4-Mar,1726,2,0
ounce ,1726,3,0
can,1726,4,0
cream,1726,5,0
of,1726,6,0
chicken,1726,7,0
soup,1726,8,0
1,1727,0,0
cup,1727,1,0
mayonnaise,1727,2,0
1,1728,0,0
teaspoon,1728,1,0
salt,1728,2,0
1,1729,0,0
teaspoon,1729,1,0
curry,1729,2,0
powder,1729,3,0
1,1730,0,0
teaspoon,1730,1,0
coriander ,1730,2,0
ground,1730,3,0
1,1731,0,0
teaspoon,1731,1,0
ginger ,1731,2,0
ground,1731,3,0
topping1 ,1732,0,0
cup,1732,1,0
cheddar,1732,2,0
cheese ,1732,3,0
shredded,1732,4,0
1,1733,0,0
cup,1733,1,0
breadcrumbs,1733,2,0
2,1734,0,0
tablespoons,1734,1,0
butter ,1734,2,0
melted,1734,3,0
10,1744,0,0
ounces,1744,1,0
plain,1744,2,0
firm,1744,3,0
tofu,1744,4,0
1,1745,0,0
tablespoon,1745,1,0
vegetable,1745,2,0
oil ,1745,3,0
plus,1745,4,0
1,1746,0,0
tablespoon,1746,1,0
butter,1746,2,0
1,1747,0,0
teaspoon,1747,1,0
turmeric,1747,2,0
2,1748,0,0
teaspoons,1748,1,0
chopped,1748,2,0
herbs ,1748,3,0
of,1748,4,0
your,1748,5,0
preference:,1748,6,0
basil ,1748,7,0
chives ,1748,8,0
parsley,1748,9,0
salt,1749,0,0
&,1749,1,0
pepper,1749,2,0
4,1750,0,0
slices,1750,1,0
buttermilk ,1750,2,0
potato ,1750,3,0
or,1750,4,0
whole,1750,5,0
wheat,1750,6,0
bread ,1750,7,0
toasted ,1750,8,0
spread,1750,9,0
with,1750,10,0
butter,1750,11,0
1,1757,0,0
lb,1757,1,0
cucumber,1757,2,0
1,1758,0,0
tablespoon,1758,1,0
salt,1758,2,0
 if,1758,3,0
cucumbers,1758,4,0
are,1758,5,0
not,1758,6,0
firm ,1758,7,0
1,1759,0,0
lemon,1759,1,0
2,1760,0,0
tablespoons,1760,1,0
butter,1760,2,0
or,1760,3,0
2,1760,4,0
tablespoons,1760,5,0
peanut,1760,6,0
oil,1760,7,0
or,1760,8,0
2,1760,9,0
tablespoons,1760,10,0
olive,1760,11,0
oil,1760,12,0
or,1760,13,0
2,1760,14,0
tablespoons,1760,15,0
other,1760,16,0
oil,1760,17,0
2,1761,0,0
cups,1761,1,0
flour,1761,2,0
 for,1761,3,0
dredging ,1761,4,0
salt,1762,0,0
pepper ,1763,0,0
freshly,1763,1,0
ground,1763,2,0
fresh,1764,0,0
parsley,1764,1,0
leaves ,1764,2,0
minced,1764,3,0
1,1781,0,0
grapefruit,1781,1,0
1,1782,0,0
orange,1782,1,0
1,1783,0,0
cup,1783,1,0
fresh,1783,2,0
pineapple,1783,3,0
6,1784,0,0
marshmallows,1784,1,0
6,1785,0,0
maraschino,1785,1,0
cherries,1785,2,0
1,1786,0,0
cup,1786,1,0
moist,1786,2,0
coconut ,1786,3,0
shredded,1786,4,0
2,1787,0,0
tablespoons,1787,1,0
maraschino,1787,2,0
juice,1787,3,0
3,1788,0,0
egg,1788,1,0
whites,1788,2,0
6,1789,0,0
tablespoons,1789,1,0
confectioners',1789,2,0
sugar,1789,3,0
1,1798,0,0
tablespoon,1798,1,0
salt,1798,2,0
 if,1798,3,0
cucumbers,1798,4,0
are,1798,5,0
not,1798,6,0
firm ,1798,7,0
2,1799,0,0
tablespoons,1799,1,0
butter,1799,2,0
1,1800,0,0
cup,1800,1,0
onion ,1800,2,0
chopped,1800,3,0
pepper ,1801,0,0
freshly,1801,1,0
ground,1801,2,0
1,1802,0,0
cup,1802,1,0
heavy,1802,2,0
cream,1802,3,0
or,1802,4,0
1,1802,5,0
cup,1802,6,0
sour,1802,7,0
cream,1802,8,0
or,1802,9,0
1,1802,10,0
cup,1802,11,0
yogurt,1802,12,0
to,1803,0,0
taste,1803,1,0
fresh,1803,2,0
dill ,1803,3,0
snipped,1803,4,0
 lots,1803,5,0
of ,1803,6,0
1,1804,0,0
lb,1804,1,0
cucumber,1804,2,0
12,1817,0,0
soft,1817,1,0
shelled,1817,2,0
crabs,1817,3,0
1,1818,0,0
cup,1818,1,0
milk,1818,2,0
3,1819,0,0
cup,1819,1,0
flour,1819,2,0
2,1820,0,0
eggs ,1820,1,0
beaten,1820,2,0
2,1821,0,0
teaspoons,1821,1,0
salt,1821,2,0
3,1822,0,0
cup,1822,1,0
dry,1822,2,0
breadcrumbs,1822,3,0
2,1832,0,0
cups,1832,1,0
crabmeat,1832,2,0
 jumbo,1832,3,0
lump ,1832,4,0
1,1833,0,0
cup,1833,1,0
chicken,1833,2,0
broth,1833,3,0
1,1834,0,0
cup,1834,1,0
vegetable,1834,2,0
oil,1834,3,0
3,1835,0,0
teaspoons,1835,1,0
worcestershire,1835,2,0
sauce,1835,3,0
3,1836,0,0
teaspoons,1836,1,0
parsley,1836,2,0
1,1837,0,0
teaspoon,1837,1,0
season,1837,2,0
salt,1837,3,0
1,1838,0,0
teaspoon,1838,1,0
celery,1838,2,0
seed,1838,3,0
1,1839,0,0
teaspoon,1839,1,0
red,1839,2,0
pepper ,1839,3,0
ground,1839,4,0
1,1840,0,0
teaspoon,1840,1,0
tarragon,1840,2,0
1,1841,0,0
cup,1841,1,0
all-purpose,1841,2,0
flour,1841,3,0
5,1842,0,0
eggs,1842,1,0
1,1852,0,0
red,1852,1,0
bell,1852,2,0
pepper ,1852,3,0
roasted,1852,4,0
and,1852,5,0
chopped,1852,6,0
olive,1853,0,0
oil,1853,1,0
1,1854,0,0
small,1854,1,0
onion ,1854,2,0
chopped,1854,3,0
1,1855,0,0
small,1855,1,0
tomatoes ,1855,2,0
chopped,1855,3,0
1,1856,0,0
jalapeno,1856,1,0
pepper ,1856,2,0
finely,1856,3,0
minced,1856,4,0
2,1857,0,0
apricots ,1857,1,0
chopped,1857,2,0
2,1858,0,0
tablespoons,1858,1,0
dark,1858,2,0
rum,1858,3,0
apple,1859,0,0
cider,1859,1,0
custard8,1869,0,0
egg,1869,1,0
yolks,1869,2,0
20,1870,0,0
tablespoons,1870,1,0
whole,1870,2,0
milk,1870,3,0
1,1870,4,0
cup,1870,5,0
plus,1870,6,0
4,1870,7,0
tbsp ,1870,8,0
6,1871,0,0
tablespoons,1871,1,0
sugar,1871,2,0
1,1872,0,0
cup,1872,1,0
whipping,1872,2,0
cream,1872,3,0
5,1873,0,0
teaspoons,1873,1,0
cornstarch ,1873,2,0
dissolved,1873,3,0
in,1873,4,0
4,1873,5,0
tbsp,1873,6,0
water,1873,7,0
1,1874,0,0
teaspoon,1874,1,0
vanilla,1874,2,0
1,1875,0,0
teaspoon,1875,1,0
nutmeg ,1875,2,0
ground,1875,3,0
trifle,1876,0,0
assembly1,1876,1,0
pint,1876,2,0
whipping,1876,3,0
cream,1876,4,0
1,1877,0,0
-2,1877,1,0
small,1877,2,0
poundcake,1877,3,0
 two,1877,4,0
days,1877,5,0
old ,1877,6,0
or,1877,7,0
1,1877,8,0
-2,1877,9,0
small,1877,10,0
sponge,1877,11,0
cake,1877,12,0
 two,1877,13,0
days,1877,14,0
old ,1877,15,0
3,1878,0,0
cup,1878,1,0
cream,1878,2,0
sherry,1878,3,0
 use,1878,4,0
a,1878,5,0
good,1878,6,0
one ,1878,7,0
3,1879,0,0
cup,1879,1,0
raspberry,1879,2,0
jam,1879,3,0
1,1880,0,0
10,1880,1,0
ounce ,1880,2,0
package,1880,3,0
frozen,1880,4,0
raspberries ,1880,5,0
thawed,1880,6,0
and,1880,7,0
drained,1880,8,0
 not,1880,9,0
traditional ,1880,10,0
2,1905,0,0
8,1905,1,0
4-Jan,1905,2,0
ounce ,1905,3,0
packages,1905,4,0
raspberries ,1905,5,0
frozen,1905,6,0
in,1905,7,0
light,1905,8,0
syrup,1905,9,0
and,1905,10,0
thawed,1905,11,0
1,1906,0,0
16,1906,1,0
ounce ,1906,2,0
package,1906,3,0
strawberries ,1906,4,0
frozen,1906,5,0
in,1906,6,0
light,1906,7,0
syrup ,1906,8,0
thawed,1906,9,0
and,1906,10,0
pureed,1906,11,0
with,1906,12,0
their,1906,13,0
juice,1906,14,0
1,1907,0,0
lb,1907,1,0
dark,1907,2,0
sweet,1907,3,0
red,1907,4,0
cherries ,1907,5,0
stemmed,1907,6,0
pitted,1907,7,0
and,1907,8,0
quartered,1907,9,0
or,1907,10,0
1,1907,11,0
20,1907,12,0
ounce ,1907,13,0
can,1907,14,0
dark,1907,15,0
sweet,1907,16,0
cherries ,1907,17,0
with,1907,18,0
juice,1907,19,0
reserved,1907,20,0
separately,1907,21,0
1,1908,0,0
quart,1908,1,0
natural,1908,2,0
red,1908,3,0
grape,1908,4,0
juice,1908,5,0
or,1908,6,0
1,1908,7,0
quart,1908,8,0
cranberry,1908,9,0
juice,1908,10,0
3,1909,0,0
cup,1909,1,0
sugar,1909,2,0
1,1910,0,0
tablespoon,1910,1,0
lemon,1910,2,0
zest ,1910,3,0
finely,1910,4,0
grated,1910,5,0
1,1911,0,0
cup,1911,1,0
lemon,1911,2,0
juice ,1911,3,0
freshly,1911,4,0
squeezed,1911,5,0
2,1912,0,0
cup,1912,1,0
cornstarch ,1912,2,0
unsifted,1912,3,0
1,1913,0,0
cup,1913,1,0
dry,1913,2,0
red,1913,3,0
wine,1913,4,0
 preferably,1913,5,0
german ,1913,6,0
toppping1,1914,0,0
cup,1914,1,0
heavy,1914,2,0
cream,1914,3,0
1,1915,0,0
tablespoon,1915,1,0
vanilla,1915,2,0
sugar,1915,3,0
6,1936,0,0
medium,1936,1,0
potatoes,1936,2,0
1,1937,0,0
cup,1937,1,0
cheddar,1937,2,0
cheese ,1937,3,0
grated,1937,4,0
1,1938,0,0
1,1938,1,0
cups,1938,2,0
milk,1938,3,0
1,1939,0,0
cup,1939,1,0
ham ,1939,2,0
chopped,1939,3,0
1,1940,0,0
pint,1940,1,0
sour,1940,2,0
cream,1940,3,0
1,1941,0,0
teaspoon,1941,1,0
onion,1941,2,0
salt,1941,3,0
1,1942,0,0
teaspoon,1942,1,0
pepper,1942,2,0
1,1943,0,0
cup,1943,1,0
butter,1943,2,0
paprika,1944,0,0
or,1944,1,0
parsley,1944,2,0
flakes ,1944,3,0
for,1944,4,0
garnish,1944,5,0
1,1955,0,0
1,1955,1,0
cups,1955,2,0
water,1955,3,0
6,1956,0,0
cups,1956,1,0
sugar ,1956,2,0
divided,1956,3,0
food,1957,0,0
coloring,1957,1,0
 optional ,1957,2,0
candy,1958,0,0
flavoring,1958,1,0
3,1959,0,0
lengths,1959,1,0
of,1959,2,0
string,1959,3,0
 6-inch ,1959,4,0
1,1973,0,0
whole,1973,1,0
head,1973,2,0
of,1973,3,0
garlic,1973,4,0
vegetable,1974,0,0
oil,1974,1,0
cooking,1974,2,0
spray,1974,3,0
 as,1974,4,0
needed ,1974,5,0
6,1975,0,0
small,1975,1,0
sweet,1975,2,0
potatoes ,1975,3,0
unpeeled,1975,4,0
1,1976,0,0
cup,1976,1,0
sour,1976,2,0
cream,1976,3,0
1,1977,0,0
teaspoon,1977,1,0
salt,1977,2,0
1,1978,0,0
teaspoon,1978,1,0
pepper,1978,2,0
1,1990,0,0
jars,1990,1,0
or,1990,2,0
1,1990,3,0
drinking,1990,4,0
glass,1990,5,0
1,1991,0,0
piece,1991,1,0
cotton,1991,2,0
string,1991,3,0
1,1992,0,0
pencil,1992,1,0
or,1992,2,0
1,1992,3,0
stick,1992,4,0
1,1993,0,0
paper,1993,1,0
clip,1993,2,0
food,1994,0,0
coloring,1994,1,0
 optional ,1994,2,0
1,1995,0,0
cup,1995,1,0
water,1995,2,0
2,1996,0,0
cups,1996,1,0
sugar,1996,2,0
 or,1996,3,0
additional ,1996,4,0
1,2003,0,0
750,2003,1,0
g ,2003,2,0
packetpre-rolled,2003,3,0
puff,2003,4,0
pastry,2003,5,0
sheets,2003,6,0
185,2004,0,0
g,2004,1,0
butter ,2004,2,0
melted,2004,3,0
2,2005,0,0
teaspoons,2005,1,0
curry,2005,2,0
powder,2005,3,0
1,2006,0,0
250,2006,1,0
g ,2006,2,0
packet,2006,3,0
potato,2006,4,0
chips ,2006,5,0
finely,2006,6,0
crushed,2006,7,0
120,2015,0,0
ml,2015,1,0
whipping,2015,2,0
cream,2015,3,0
50,2016,0,0
g,2016,1,0
butter,2016,2,0
125,2017,0,0
g,2017,1,0
sugar,2017,2,0
40,2018,0,0
g,2018,1,0
candied,2018,2,0
fruit ,2018,3,0
cherries,2018,4,0
or,2018,5,0
40,2018,6,0
g,2018,7,0
other,2018,8,0
candied,2018,9,0
fruit,2018,10,0
100,2019,0,0
g,2019,1,0
candied,2019,2,0
orange ,2019,3,0
finely,2019,4,0
chopped,2019,5,0
100,2020,0,0
g,2020,1,0
almonds ,2020,2,0
slivers,2020,3,0
100,2021,0,0
g,2021,1,0
almonds ,2021,2,0
ground,2021,3,0
60,2022,0,0
g,2022,1,0
flour,2022,2,0
glaze,2023,0,0
200,2024,0,0
g,2024,1,0
semisweet,2024,2,0
chocolate ,2024,3,0
grated,2024,4,0
3,2025,0,0
tablespoons,2025,1,0
water,2025,2,0
1,2043,0,0
cup,2043,1,0
heavy,2043,2,0
cream,2043,3,0
 1/2,2043,4,0
pint ,2043,5,0
1,2054,0,0
cup,2054,1,0
heavy,2054,2,0
whipping,2054,3,0
cream,2054,4,0
1,2055,0,0
cup,2055,1,0
water,2055,2,0
2,2056,0,0
ice,2056,1,0
cubes,2056,2,0
1,2068,0,0
cup,2068,1,0
all-purpose,2068,2,0
flour,2068,3,0
1,2069,0,0
teaspoon,2069,1,0
baking,2069,2,0
soda,2069,3,0
1,2070,0,0
dash,2070,1,0
salt,2070,2,0
1,2071,0,0
cup,2071,1,0
butter,2071,2,0
or,2071,3,0
1,2071,4,0
cup,2071,5,0
margarine,2071,6,0
1,2072,0,0
cup,2072,1,0
brown,2072,2,0
sugar ,2072,3,0
packed,2072,4,0
2,2073,0,0
tablespoons,2073,1,0
light,2073,2,0
corn,2073,3,0
syrup,2073,4,0
1,2074,0,0
egg,2074,1,0
1,2075,0,0
cup,2075,1,0
coconut,2075,2,0
1,2076,0,0
teaspoon,2076,1,0
vanilla,2076,2,0
extract,2076,3,0
2,2077,0,0
semi-sweet,2077,1,0
chocolate,2077,2,0
baking,2077,3,0
squares,2077,4,0
1,2077,5,0
oz ,2077,6,0
1,2078,0,0
tablespoon,2078,1,0
butter,2078,2,0
or,2078,3,0
1,2078,4,0
tablespoon,2078,5,0
margarine,2078,6,0
2,2093,0,0
1,2093,1,0
quarts,2093,2,0
siftings,2093,3,0
 or,2093,4,0
bran,2093,5,0
 ,2093,6,0
4,2094,0,0
1,2094,1,0
liters,2094,2,0
water,2094,3,0
1,2095,0,0
cup,2095,1,0
hop,2095,2,0
1,2096,0,0
cup,2096,1,0
sugar,2096,2,0
dressing1,2102,0,0
tablespoon,2102,1,0
minced,2102,2,0
ginger,2102,3,0
1,2103,0,0
garlic,2103,1,0
clove ,2103,2,0
minced,2103,3,0
2,2104,0,0
teaspoons,2104,1,0
light,2104,2,0
soy,2104,3,0
sauce,2104,4,0
1,2105,0,0
cup,2105,1,0
rice,2105,2,0
wine,2105,3,0
vinegar,2105,4,0
2,2106,0,0
oranges ,2106,1,0
juice,2106,2,0
of,2106,3,0
1,2107,0,0
lime ,2107,1,0
juice,2107,2,0
of,2107,3,0
1,2108,0,0
teaspoon,2108,1,0
brown,2108,2,0
sugar,2108,3,0
salad2,2109,0,0
cups,2109,1,0
chinese,2109,2,0
cabbage ,2109,3,0
shredded,2109,4,0
100,2110,0,0
g,2110,1,0
bean,2110,2,0
sprouts,2110,3,0
1,2111,0,0
red,2111,1,0
onion ,2111,2,0
thinly,2111,3,0
sliced,2111,4,0
1,2112,0,0
orange ,2112,1,0
peeled,2112,2,0
and,2112,3,0
sliced,2112,4,0
into,2112,5,0
1,2112,6,0
inch,2112,7,0
segments,2112,8,0
2,2113,0,0
grilled,2113,1,0
chicken,2113,2,0
breasts ,2113,3,0
sliced,2113,4,0
chopped,2114,0,0
fresh,2114,1,0
cilantro,2114,2,0
 for,2114,3,0
garnish ,2114,4,0
salt,2115,0,0
&,2115,1,0
freshly,2115,2,0
ground,2115,3,0
black,2115,4,0
pepper,2115,5,0
1,2116,0,0
cup,2116,1,0
fresh,2116,2,0
cilantro ,2116,3,0
chopped,2116,4,0
1,2131,0,0
8,2131,1,0
ounce ,2131,2,0
can,2131,3,0
pineapple,2131,4,0
chunks,2131,5,0
crisp,2132,0,0
salad,2132,1,0
green,2132,2,0
2,2133,0,0
cups,2133,1,0
ham ,2133,2,0
diced,2133,3,0
1,2134,0,0
cup,2134,1,0
cheddar,2134,2,0
cheese ,2134,3,0
shredded,2134,4,0
dressing1,2135,0,0
cup,2135,1,0
sour,2135,2,0
cream,2135,3,0
3,2136,0,0
tablespoons,2136,1,0
chutney,2136,2,0
1,2143,0,0
cup,2143,1,0
olive,2143,2,0
oil,2143,3,0
3,2144,0,0
tablespoons,2144,1,0
olive,2144,2,0
oil,2144,3,0
1,2145,0,0
medium,2145,1,0
onion ,2145,2,0
chopped,2145,3,0
3,2146,0,0
cloves,2146,1,0
garlic ,2146,2,0
minced,2146,3,0
1,2147,0,0
cup,2147,1,0
long,2147,2,0
grain,2147,3,0
white,2147,4,0
rice,2147,5,0
1,2148,0,0
1,2148,1,0
teaspoons,2148,2,0
cumin ,2148,3,0
ground,2148,4,0
4,2149,0,0
cups,2149,1,0
canned,2149,2,0
chicken,2149,3,0
broth,2149,4,0
1,2150,0,0
cup,2150,1,0
currants,2150,2,0
1,2151,0,0
cup,2151,1,0
pine,2151,2,0
nuts ,2151,3,0
toasted,2151,4,0
1,2152,0,0
cup,2152,1,0
fresh,2152,2,0
parsley ,2152,3,0
minced,2152,4,0
1,2153,0,0
cup,2153,1,0
of,2153,2,0
fresh,2153,3,0
mint ,2153,4,0
minced,2153,5,0
1,2154,0,0
8,2154,1,0
ounce ,2154,2,0
jar,2154,3,0
grape,2154,4,0
leaves ,2154,5,0
drained,2154,6,0
sauce:1,2155,0,0
cup,2155,1,0
plain,2155,2,0
yogurt,2155,3,0
1,2156,0,0
cup,2156,1,0
of,2156,2,0
fresh,2156,3,0
mint ,2156,4,0
minced,2156,5,0
1,2157,0,0
clove,2157,1,0
garlic ,2157,2,0
minced,2157,3,0
garnish:,2158,0,0
lemon,2158,1,0
wedge,2158,2,0
1,2186,0,0
cup,2186,1,0
butter ,2186,2,0
softened,2186,3,0
1,2187,0,0
1,2187,1,0
cups,2187,2,0
sugar,2187,3,0
3,2188,0,0
eggs ,2188,1,0
separated,2188,2,0
2,2189,0,0
cups,2189,1,0
flour ,2189,2,0
unsifted,2189,3,0
1,2190,0,0
teaspoon,2190,1,0
baking,2190,2,0
powder,2190,3,0
1,2191,0,0
teaspoon,2191,1,0
baking,2191,2,0
soda,2191,3,0
1,2192,0,0
cup,2192,1,0
sour,2192,2,0
cream,2192,3,0
1,2193,0,0
orange ,2193,1,0
zest,2193,2,0
of ,2193,3,0
grated,2193,4,0
1,2194,0,0
cup,2194,1,0
almonds ,2194,2,0
chopped,2194,3,0
topping1 ,2195,0,0
cup,2195,1,0
orange,2195,2,0
juice,2195,3,0
1,2196,0,0
cup,2196,1,0
grand,2196,2,0
marnier,2196,3,0
1,2197,0,0
cup,2197,1,0
sugar,2197,2,0
2,2198,0,0
tablespoons,2198,1,0
blanched,2198,2,0
slivered,2198,3,0
almonds,2198,4,0
3,2211,0,0
egg,2211,1,0
whites ,2211,2,0
beaten,2211,3,0
very,2211,4,0
stiff,2211,5,0
1,2212,0,0
teaspoon,2212,1,0
vanilla,2212,2,0
2,2213,0,0
cup,2213,1,0
graham,2213,2,0
cracker,2213,3,0
crumbs,2213,4,0
1,2214,0,0
cup,2214,1,0
sugar,2214,2,0
1,2215,0,0
cup,2215,1,0
pecans ,2215,2,0
chopped,2215,3,0
1,2216,0,0
teaspoon,2216,1,0
baking,2216,2,0
powder,2216,3,0
1,2227,0,0
lb,2227,1,0
cod,2227,2,0
fish,2227,3,0
fillet,2227,4,0
2,2228,0,0
tablespoons,2228,1,0
margarine,2228,2,0
or,2228,3,0
2,2228,4,0
tablespoons,2228,5,0
cooking,2228,6,0
oil,2228,7,0
1,2229,0,0
medium,2229,1,0
onion ,2229,2,0
sliced,2229,3,0
1,2230,0,0
cup,2230,1,0
celery ,2230,2,0
diced,2230,3,0
2,2231,0,0
cups,2231,1,0
raw,2231,2,0
potatoes ,2231,3,0
diced,2231,4,0
1,2232,0,0
cup,2232,1,0
carrot ,2232,2,0
sliced,2232,3,0
2,2233,0,0
cups,2233,1,0
boiling,2233,2,0
water,2233,3,0
1,2234,0,0
teaspoon,2234,1,0
salt,2234,2,0
1,2235,0,0
teaspoon,2235,1,0
pepper,2235,2,0
1,2236,0,0
cup,2236,1,0
milk,2236,2,0
1,2247,0,0
whole,2247,1,0
chicken,2247,2,0
4,2248,0,0
cups,2248,1,0
low,2248,2,0
sodium,2248,3,0
chicken,2248,4,0
broth,2248,5,0
3,2249,0,0
slices,2249,1,0
ginger,2249,2,0
 quarter-sized,2249,3,0
slices ,2249,4,0
1,2250,0,0
tablespoon,2250,1,0
soy,2250,2,0
sauce,2250,3,0
2,2251,0,0
scallions ,2251,1,0
chopped,2251,2,0
2,2252,0,0
cups,2252,1,0
whiskey,2252,2,0
sesame,2253,0,0
oil,2253,1,0
2,2262,0,0
cups,2262,1,0
water,2262,2,0
1,2263,0,0
chicken,2263,1,0
breast,2263,2,0
2,2264,0,0
slices,2264,1,0
ginger ,2264,2,0
8-Jan,2264,3,0
inch,2264,4,0
thick,2264,5,0
1,2265,0,0
scallion,2265,1,0
1,2266,0,0
tablespoon,2266,1,0
salt,2266,2,0
1,2267,0,0
cup,2267,1,0
sherry,2267,2,0
wine,2267,3,0
cilantro,2268,0,0
 for,2268,1,0
garnish ,2268,2,0
6,2282,0,0
-8,2282,1,0
chicken,2282,2,0
wings ,2282,3,0
disjointed,2282,4,0
curry,2283,0,0
powder,2283,1,0
garlic,2284,0,0
salt,2284,1,0
seasoning,2285,0,0
salt,2285,1,0
black,2286,0,0
pepper,2286,1,0
2,2287,0,0
medium,2287,1,0
red,2287,2,0
skin,2287,3,0
white,2287,4,0
potatoes,2287,5,0
1,2288,0,0
medium,2288,1,0
onion ,2288,2,0
diced,2288,3,0
1,2289,0,0
medium,2289,1,0
green,2289,2,0
pepper ,2289,3,0
diced,2289,4,0
1,2290,0,0
tablespoon,2290,1,0
oil,2290,2,0
2,2298,0,0
lbs,2298,1,0
chicken ,2298,2,0
cut,2298,3,0
into,2298,4,0
pieces,2298,5,0
salt,2299,0,0
2,2300,0,0
tablespoons,2300,1,0
curry,2300,2,0
powder,2300,3,0
1,2301,0,0
large,2301,1,0
onion ,2301,2,0
cut,2301,3,0
in,2301,4,0
fine,2301,5,0
half,2301,6,0
rings,2301,7,0
1,2302,0,0
teaspoon,2302,1,0
rosemary,2302,2,0
1,2303,0,0
teaspoon,2303,1,0
garlic ,2303,2,0
finely,2303,3,0
chopped,2303,4,0
hot,2304,0,0
pepper,2304,1,0
 optional ,2304,2,0
1,2305,0,0
teaspoon,2305,1,0
thyme,2305,2,0
3,2306,0,0
tablespoons,2306,1,0
vegetable,2306,2,0
oil,2306,3,0
1,2307,0,0
cup,2307,1,0
water,2307,2,0
